Ticker,Year,Total Assets,Total Liabilities,Total Debt,Total Equity,Cash And Cash Equivalents,Working Capital,Shares Outstanding Capital,Book Value per Share,Debt to Equity
CMCSA,2015,166570000000.0,111380000000.0,52620000000.0,55200000000.0,2300000000.0,-5880000000.0,4880000000.0,10.72,0.95
CMCSA,2016,180500000000.0,122880000000.0,61050000000.0,57620000000.0,3300000000.0,-5170000000.0,4780000000.0,10.6,1.06
CMCSA,2017,187460000000.0,116650000000.0,64560000000.0,70820000000.0,3430000000.0,-5650000000.0,4640000000.0,14.77,0.91
CMCSA,2018,251680000000.0,177870000000.0,111740000000.0,73820000000.0,3810000000.0,-5760000000.0,4530000000.0,15.82,1.51
CMCSA,2019,263410000000.0,178170000000.0,107380000000.0,85250000000.0,5500000000.0,-4900000000.0,4550000000.0,18.17,1.26
CMCSA,2020,273870000000.0,180850000000.0,108930000000.0,93020000000.0,11740000000.0,-2060000000.0,4580000000.0,19.72,1.17
CMCSA,2021,275910000000.0,177900000000.0,100020000000.0,98010000000.0,8710000000.0,-4540000000.0,4530000000.0,21.2,1.02
CMCSA,2022,257280000000.0,175240000000.0,99980000000.0,82040000000.0,4750000000.0,-6060000000.0,4220000000.0,19.18,1.22
CMCSA,2023,264810000000.0,181340000000.0,97090000000.0,83470000000.0,6220000000.0,-16210000000.0,3980000000.0,20.79,1.16
CMCSA,2024,266210000000.0,179940000000.0,99090000000.0,86270000000.0,7320000000.0,-12780000000.0,3790000000.0,22.59,1.15
CHTR,2015,39320000000.0,39360000000.0,35720000000.0,-50000000.0,10000000.0,-1630000000.0,100000000.0,-0.45,
CHTR,2016,149070000000.0,98700000000.0,61750000000.0,50370000000.0,1540000000.0,-6270000000.0,270000000.0,149.27,1.23
CHTR,2017,146620000000.0,99090000000.0,70230000000.0,47530000000.0,620000000.0,-8540000000.0,240000000.0,163.87,1.48
CHTR,2018,146130000000.0,101860000000.0,72830000000.0,44270000000.0,550000000.0,-9370000000.0,230000000.0,161.01,1.64
CHTR,2019,148190000000.0,109380000000.0,79290000000.0,38810000000.0,3480000000.0,-5910000000.0,210000000.0,149.76,2.04
CHTR,2020,144210000000.0,113930000000.0,82990000000.0,30280000000.0,1000000000.0,-5970000000.0,190000000.0,122.88,2.74
CHTR,2021,142490000000.0,124340000000.0,91830000000.0,18160000000.0,600000000.0,-8890000000.0,170000000.0,81.34,5.06
CHTR,2022,144520000000.0,131970000000.0,97600000000.0,12550000000.0,650000000.0,-8050000000.0,150000000.0,59.74,7.78
CHTR,2023,147190000000.0,132480000000.0,98200000000.0,14720000000.0,710000000.0,-9080000000.0,150000000.0,76.34,6.67
CHTR,2024,150020000000.0,130310000000.0,95760000000.0,19710000000.0,460000000.0,-9250000000.0,140000000.0,109.81,4.86
TMUS,2015,62410000000.0,45860000000.0,23300000000.0,16560000000.0,4580000000.0,5360000000.0,820000000.0,20.23,1.41
TMUS,2016,65890000000.0,47660000000.0,24810000000.0,18240000000.0,5500000000.0,5200000000.0,830000000.0,22.07,1.36
TMUS,2017,70560000000.0,48000000000.0,30910000000.0,22560000000.0,1220000000.0,-2600000000.0,860000000.0,26.25,1.37
TMUS,2018,72470000000.0,47750000000.0,15520000000.0,24720000000.0,1200000000.0,-1990000000.0,850000000.0,29.07,0.63
TMUS,2019,86920000000.0,58130000000.0,42330000000.0,28790000000.0,1530000000.0,-3200000000.0,860000000.0,33.6,1.47
TMUS,2020,200160000000.0,134820000000.0,107250000000.0,65340000000.0,10390000000.0,2180000000.0,1240000000.0,52.62,1.64
TMUS,2021,206560000000.0,137460000000.0,108820000000.0,69100000000.0,6630000000.0,-2610000000.0,1250000000.0,55.32,1.57
TMUS,2022,211340000000.0,141680000000.0,111790000000.0,69660000000.0,4510000000.0,-5680000000.0,1240000000.0,56.45,1.6
TMUS,2023,207680000000.0,142970000000.0,113830000000.0,64720000000.0,5140000000.0,-1910000000.0,1160000000.0,54.12,1.76
TMUS,2024,208040000000.0,146290000000.0,114400000000.0,61740000000.0,5410000000.0,-1770000000.0,1160000000.0,53.94,1.85
T,2015,402670000000.0,279030000000.0,126150000000.0,123640000000.0,5120000000.0,-11820000000.0,6140000000.0,19.96,1.02
T,2016,403820000000.0,279710000000.0,123510000000.0,124110000000.0,5790000000.0,-12210000000.0,6140000000.0,20.06,1.0
T,2017,444100000000.0,302090000000.0,164350000000.0,142010000000.0,50500000000.0,-2240000000.0,6140000000.0,22.94,1.16
T,2018,531860000000.0,337980000000.0,176510000000.0,193880000000.0,5200000000.0,-12990000000.0,7280000000.0,25.28,0.91
T,2019,551670000000.0,349740000000.0,184950000000.0,201930000000.0,12130000000.0,-14150000000.0,7310000000.0,25.39,0.92
T,2020,525760000000.0,346520000000.0,179450000000.0,179240000000.0,9740000000.0,-11430000000.0,7130000000.0,22.69,1.0
T,2021,551620000000.0,367770000000.0,195830000000.0,183860000000.0,19220000000.0,64540000000.0,7140000000.0,23.29,1.07
T,2022,402850000000.0,296400000000.0,154680000000.0,106460000000.0,3700000000.0,-23070000000.0,7130000000.0,13.68,1.45
T,2023,407060000000.0,287650000000.0,154900000000.0,119420000000.0,6720000000.0,-14670000000.0,7150000000.0,14.45,1.3
T,2024,394800000000.0,274570000000.0,140920000000.0,120230000000.0,3300000000.0,-15700000000.0,7180000000.0,14.54,1.17
VZ,2015,244180000000.0,226330000000.0,109730000000.0,17840000000.0,4470000000.0,-12700000000.0,4070000000.0,3.93,6.15
VZ,2016,244180000000.0,220150000000.0,108080000000.0,24030000000.0,2880000000.0,-3950000000.0,4080000000.0,5.41,4.5
VZ,2017,257140000000.0,212460000000.0,117100000000.0,44690000000.0,2080000000.0,-3120000000.0,4080000000.0,10.46,2.62
VZ,2018,264830000000.0,210120000000.0,113060000000.0,54710000000.0,2750000000.0,-3290000000.0,4130000000.0,12.78,2.07
VZ,2019,291730000000.0,228890000000.0,133140000000.0,62840000000.0,2590000000.0,-7400000000.0,4140000000.0,14.79,2.12
VZ,2020,316480000000.0,247210000000.0,150550000000.0,69270000000.0,22170000000.0,14930000000.0,4140000000.0,16.31,2.17
VZ,2021,366600000000.0,283400000000.0,177930000000.0,83200000000.0,2920000000.0,-10430000000.0,4200000000.0,19.36,2.14
VZ,2022,379680000000.0,287220000000.0,176330000000.0,92460000000.0,2610000000.0,-12310000000.0,4200000000.0,21.51,1.91
VZ,2023,380260000000.0,286460000000.0,174940000000.0,93800000000.0,2070000000.0,-16410000000.0,4200000000.0,21.83,1.87
VZ,2024,384710000000.0,284140000000.0,168360000000.0,100580000000.0,4190000000.0,-24250000000.0,4210000000.0,23.4,1.67
