Ticker,Year,Cash From Operating Activities,Cash From Investing Activities,Cash From Financing Activities,Capital Expenditure,Free Cash Flow,Change in Cash
CHTR,2015,2360000000.0,-17030000000.0,14680000000.0,1810000000.0,230000000.0,0.0
CHTR,2016,8040000000.0,-33550000000.0,4780000000.0,4720000000.0,2340000000.0,-20730000000.0
CHTR,2017,11950000000.0,-8100000000.0,-4770000000.0,7860000000.0,3650000000.0,-910000000.0
CHTR,2018,11770000000.0,-9740000000.0,-1890000000.0,9600000000.0,2420000000.0,140000000.0
CHTR,2019,11750000000.0,-7330000000.0,-1630000000.0,7140000000.0,5610000000.0,2780000000.0
CHTR,2020,14560000000.0,-8160000000.0,-8950000000.0,7960000000.0,6410000000.0,-2550000000.0
CHTR,2021,16240000000.0,-7750000000.0,-8890000000.0,7560000000.0,8520000000.0,-400000000.0
CHTR,2022,14930000000.0,-9110000000.0,-5770000000.0,9380000000.0,5950000000.0,40000000.0
CHTR,2023,14430000000.0,-11130000000.0,-3240000000.0,11120000000.0,3770000000.0,60000000.0
CHTR,2024,14430000000.0,-10650000000.0,-3980000000.0,11270000000.0,4210000000.0,-200000000.0
CMCSA,2015,19490000000.0,-11960000000.0,-9140000000.0,9870000000.0,9130000000.0,-1620000000.0
CMCSA,2016,19690000000.0,-18270000000.0,-430000000.0,10690000000.0,10090000000.0,990000000.0
CMCSA,2017,21260000000.0,-13530000000.0,-7570000000.0,11160000000.0,11640000000.0,160000000.0
CMCSA,2018,24300000000.0,-50850000000.0,27140000000.0,11710000000.0,12890000000.0,580000000.0
CMCSA,2019,25700000000.0,-14840000000.0,-9180000000.0,12430000000.0,15830000000.0,1680000000.0
CMCSA,2020,24740000000.0,-12050000000.0,-6510000000.0,11630000000.0,12540000000.0,6180000000.0
CMCSA,2021,29150000000.0,-13450000000.0,-18620000000.0,12060000000.0,17960000000.0,-2920000000.0
CMCSA,2022,26410000000.0,-14140000000.0,-16180000000.0,13770000000.0,15550000000.0,-3910000000.0
CMCSA,2023,28500000000.0,-7160000000.0,-19850000000.0,15540000000.0,11950000000.0,1490000000.0
CMCSA,2024,27670000000.0,-15670000000.0,-10880000000.0,15130000000.0,17490000000.0,1120000000.0
T,2015,35880000000.0,-49140000000.0,9780000000.0,19220000000.0,20920000000.0,-3480000000.0
T,2016,38440000000.0,-23320000000.0,-14460000000.0,21520000000.0,19770000000.0,660000000.0
T,2017,38010000000.0,-18940000000.0,25930000000.0,20650000000.0,20970000000.0,45000000000.0
T,2018,43600000000.0,-63150000000.0,-25990000000.0,21250000000.0,32720000000.0,-45530000000.0
T,2019,48670000000.0,-16690000000.0,-25080000000.0,19640000000.0,40960000000.0,6900000000.0
T,2020,43130000000.0,-13550000000.0,-32010000000.0,14690000000.0,26790000000.0,-2430000000.0
T,2021,41960000000.0,-32090000000.0,1580000000.0,15550000000.0,25860000000.0,11450000000.0
T,2022,32020000000.0,-25810000000.0,-23740000000.0,19630000000.0,18040000000.0,-17520000000.0
T,2023,38310000000.0,-19660000000.0,-15610000000.0,17850000000.0,22920000000.0,3040000000.0
T,2024,38770000000.0,-17490000000.0,-24710000000.0,20260000000.0,20930000000.0,-3430000000.0
TMUS,2015,5410000000.0,-9560000000.0,3410000000.0,6660000000.0,110000000.0,-730000000.0
TMUS,2016,2780000000.0,-2320000000.0,460000000.0,8670000000.0,220000000.0,920000000.0
TMUS,2017,3830000000.0,-6750000000.0,-1370000000.0,11070000000.0,-920000000.0,-4280000000.0
TMUS,2018,3900000000.0,-580000000.0,-3340000000.0,5670000000.0,5760000000.0,-20000000.0
TMUS,2019,6820000000.0,-4130000000.0,-2370000000.0,7360000000.0,5030000000.0,330000000.0
TMUS,2020,8640000000.0,-12720000000.0,13010000000.0,12370000000.0,8160000000.0,8940000000.0
TMUS,2021,13920000000.0,-19390000000.0,1710000000.0,21690000000.0,-660000000.0,-3760000000.0
TMUS,2022,16780000000.0,-12360000000.0,-6450000000.0,17300000000.0,2540000000.0,-2030000000.0
TMUS,2023,18560000000.0,-5830000000.0,-12100000000.0,10810000000.0,14810000000.0,630000000.0
TMUS,2024,22290000000.0,-9070000000.0,-12820000000.0,12310000000.0,16990000000.0,410000000.0
VZ,2015,39030000000.0,-30040000000.0,-15110000000.0,27720000000.0,8870000000.0,-6130000000.0
VZ,2016,21690000000.0,-9870000000.0,-13380000000.0,17590000000.0,10850000000.0,-1560000000.0
VZ,2017,24320000000.0,-18460000000.0,-6150000000.0,17830000000.0,12430000000.0,-290000000.0
VZ,2018,34340000000.0,-17930000000.0,-15380000000.0,18090000000.0,17430000000.0,1030000000.0
VZ,2019,35750000000.0,-17580000000.0,-18160000000.0,18840000000.0,23620000000.0,0.0
VZ,2020,41770000000.0,-23510000000.0,1330000000.0,22090000000.0,19620000000.0,19580000000.0
VZ,2021,39540000000.0,-67150000000.0,8280000000.0,67880000000.0,-27450000000.0,-19340000000.0
VZ,2022,37140000000.0,-28660000000.0,-8530000000.0,26740000000.0,10860000000.0,-50000000.0
VZ,2023,37480000000.0,-23430000000.0,-14660000000.0,24560000000.0,13180000000.0,-610000000.0
VZ,2024,36910000000.0,-18670000000.0,-17100000000.0,17990000000.0,21200000000.0,1140000000.0
